,atomic_number,atomic_weight,density,phase,melting_point,boiling_point,critical_temperature,critical_pressure,heat_of_fusion,heat_of_vaporization,specific_heat,adiabatic_index,neel_point,thermal_conductivity,thermal_expansion,density__liquid,molar_volume,brinell_hardness,mohs_hardness,vickers_hardness,bulk_modulus,shear_modulus,young_modulus,poisson_ratio,refractive_index,speed_sound,valence,electronegativity,electron_affinity,color,electrical_conductivity,electrical_resistivity,superconducting_point,curie_point,volume_magnetic_susceptibility,atomic_radius,covalent_radius,van_der_waals_radius,lattice_constants__1,lattice_constants__2,lattice_constants__3,decay_mode,neutron_cross_section,neutron_mass_absorption,isotopic_abundances
39,39,88.90584,4.472,Solid,1799.15,3618.15,,,11.4,380.0,298.0,,,17.0,1.06e-05,4.24,1.9881e-05,588.0,,,41.0,26.0,64.0,0.24,,3300.0,3.0,1.22,29.6,Silver,1800000.0,5.699999999999999e-07,1.3,,0.0002978,212.0,190.0,,364.74, 364.74, 573.06,N/A,1.28,0.00059,1
40,40,91.224,6.511,Solid,2128.15,4682.15,,,21.0,580.0,278.0,,,23.0,5.7e-06,5.8,1.4011e-05,650.0,5.0,904.0,,33.0,67.0,0.34,,3800.0,4.0,1.33,41.1,Silver,2400000.0,4.2e-07,0.61,,0.000109,206.0,175.0,,323.2, 323.2, 514.7,N/A,0.184,0.00066,5
41,41,92.90637,8.57,Solid,2750.15,5017.15,,,26.8,690.0,265.0,,,54.0,7.2999999999999996e-06,,1.0841e-05,736.0,6.0,1320.0,170.0,38.0,105.0,0.4,,3480.0,5.0,1.6,86.1,Gray,6700000.0,1.5e-07,9.25,,0.000237,198.0,164.0,,330.04, 330.04, 330.04,N/A,1.15,0.0004,1
42,42,95.95,10.28,Solid,2896.15,4912.15,,,36.0,600.0,251.0,,,139.0,4.8e-06,9.33,9.333999999999999e-06,1500.0,5.5,1530.0,230.0,20.0,329.0,0.31,,6190.0,6.0,2.16,71.9,Gray,20000000.0,4.999999999997e-08,0.915,,0.0001203,190.0,154.0,,314.7, 314.7, 314.7,N/A,2.6,0.0009,7
43,43,97.0,11.5,Solid,2430.15,4538.15,,,23.0,550.0,63.0,,,51.0,,,8.434782608696e-06,,,,,,,,,,6.0,1.9,53.0,Silver,5000000.0,2e-07,7.7,,0.0003933,183.0,147.0,,273.5, 273.5, 438.8,BetaDecay,22.0,,0
44,44,101.07,12.37,Solid,2607.15,4423.15,,,25.7,580.0,238.0,,,120.0,6.4e-06,10.65,8.1706e-06,2160.0,6.5,2298.138766667,220.0,173.0,447.0,0.3,,5970.0,6.0,2.2,101.3,Silver,14000000.0,7.000000000002e-08,0.49,,6.7e-05,178.0,146.0,,270.59, 270.59, 428.15,N/A,2.6,0.0009,7
45,45,102.9055,12.45,Solid,2237.15,3968.15,,,21.7,495.0,240.0,,,150.0,8e-06,10.7,8.265499999999999e-06,1100.0,6.0,1246.0,380.0,150.0,275.0,0.26,,4700.0,6.0,2.28,109.7,Silver,23000000.0,4.3000000000030005e-08,,,0.0001693,173.0,142.0,,380.34, 380.34, 380.34,N/A,145.0,0.063,1
46,46,106.42,12.023,Solid,1828.0500000000002,3236.15,,,16.7,380.0,240.0,,,71.0,1.18e-05,10.38,8.8514e-06,37.2,4.75,461.0,180.0,44.0,121.0,0.39,,3070.0,4.0,2.2,53.7,Silver,10000000.0,1e-07,,,0.0007899,169.0,139.0,163.0,389.07, 389.07, 389.07,N/A,6.9,0.0023,6
47,47,107.8682,10.49,Solid,1234.9299999999998,2435.15,,,11.3,255.0,235.0,,,430.0,1.89e-05,9.32,1.0283e-05,24.5,2.5,251.0,100.0,30.0,85.0,0.37,,2600.0,1.0,1.93,125.6,Silver,62000000.0,1.6e-08,,,-2.38e-05,165.0,145.0,172.0,408.53, 408.53, 408.53,N/A,63.6,0.02,2
48,48,112.414,8.65,Solid,594.22,1040.15,,,6.3,100.0,230.0,,,96.0,3.08e-05,7.996,1.2996e-05,203.0,2.0,,42.0,19.0,50.0,0.3,,2310.0,2.0,1.69,0.0,Silver,14000000.0,7.000000000002e-08,0.517,,-1.99e-05,161.0,144.0,158.0,297.94, 297.94, 561.86,N/A,2450.0,1.4,8
